id,title,artist,genre,danceability,energy,valence,acousticness,tempo
66,Society,Eddie Vedder,acoustic,0.561,0.327,0.298,0.902,161.858
67,Please Don't Say You Love Me,Gabrielle Aplin,acoustic,0.479,0.541,0.3,0.74,85.994
68,Guaranteed,Eddie Vedder,acoustic,0.436,0.4,0.351,0.904,100.734
69,Brave,Sara Bareilles,acoustic,0.551,0.836,0.758,0.00502,185.063
70,Heaven Knows,Five For Fighting,acoustic,0.6,0.845,0.392,0.048,97.631
71,I Heard The Bells On Christmas Day,The Civil Wars,acoustic,0.492,0.145,0.218,0.872,90.078
72,Fairytale Of New York,KT Tunstall,acoustic,0.447,0.555,0.33,0.218,117.888
73,Hold On,KT Tunstall,acoustic,0.661,0.937,0.805,0.322,105.549
74,Suddenly I See,KT Tunstall,acoustic,0.603,0.78,0.693,0.139,100.499
75,Rain,Motohiro Hata,acoustic,0.626,0.655,0.542,0.503,92.003
76,Somebody Else - Acoustic,Callum J Wright,acoustic,0.794,0.38,0.617,0.762,114.99
77,Pieces (Hushed),Andrew Belle,acoustic,0.52,0.279,0.0951,0.894,69.642
78,Mirrors,Boyce Avenue;Fifth Harmony,acoustic,0.545,0.658,0.683,0.496,76.971
79,Stand by Me,Boyce Avenue,acoustic,0.728,0.266,0.307,0.872,115.189
80,Losing Me,Gabrielle Aplin;JP Cooper,acoustic,0.66,0.407,0.257,0.236,133.86
81,なんでもないや - movie ver.,Mone Kamishiraishi,acoustic,0.357,0.161,0.325,0.971,83.449
82,You’re Beautiful - Acoustic,John Adams,acoustic,0.479,0.154,0.36,0.915,147.207
83,Hikare Inochi,Kitri,acoustic,0.592,0.769,0.385,0.319,102.033
84,How To Lose a Girl,Tyler Ward,acoustic,0.7,0.454,0.34,0.55,80.011
85,Can’t Help Falling in Love,Boyce Avenue,acoustic,0.402,0.197,0.148,0.858,100.044
86,Dive Deep (Hushed),Andrew Belle,acoustic,0.507,0.378,0.085,0.852,135.86
87,When the Party's over (Acoustic Piano),Ben Woodward,acoustic,0.619,0.226,0.188,0.959,124.96
88,Boston,Augustana,acoustic,0.404,0.571,0.29,0.182,147.01
89,Living in the Shadows,Matthew Perryman Jones,acoustic,0.418,0.79,0.197,0.0284,175.975
90,In Case You Didn’t Know,Boyce Avenue,acoustic,0.633,0.299,0.341,0.833,147.549
91,death bed (coffee for your head),Andrew Foy;Renee Foy,acoustic,0.565,0.0392,0.601,0.835,125.399
92,You Are My Sunshine,Kina Grannis,acoustic,0.664,0.0755,0.575,0.91,80.004
93,I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,acoustic,0.65,0.271,0.21,0.794,78.036
94,Only Love Can Hurt Like This,Meg Birch,acoustic,0.534,0.213,0.0998,0.884,98.385
95,Mr Blue,Catherine Feeny,acoustic,0.456,0.386,0.612,0.835,165.733
96,Do Not Let Me Go,Joshua Hyslop,acoustic,0.409,0.234,0.145,0.338,139.832
97,Holding On And Letting Go,Ross Copperman,acoustic,0.502,0.53,0.102,0.805,78.046
98,You Already Know,JJ Heller,acoustic,0.496,0.117,0.318,0.933,78.068
99,Believer (Remix),Ben Woodward,acoustic,0.585,0.724,0.333,0.315,187.484
100,Collide - Acoustic Version,Howie Day,acoustic,0.582,0.253,0.294,0.827,90.186
101,Love Like This,Ben Rector,acoustic,0.637,0.14,0.392,0.903,139.78
102,Come On Get Higher,Matt Nathanson,acoustic,0.672,0.623,0.617,0.241,92.018
103,"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,acoustic,0.422,0.272,0.113,0.496,143.413
104,Kiss Me Slowly,Parachute,acoustic,0.47,0.801,0.431,0.0758,173.92
105,Without You,Parachute,acoustic,0.564,0.864,0.534,0.0761,95.984
106,Absolutely Zero,Jason Mraz,acoustic,0.521,0.495,0.116,0.128,135.061
107,Sleep All Day,Jason Mraz,acoustic,0.616,0.81,0.79,0.369,97.994
108,You and I Both,Jason Mraz,acoustic,0.615,0.812,0.74,0.184,98.954
109,Long Nights,Eddie Vedder,acoustic,0.478,0.305,0.0974,0.675,108.66
110,Who Needs Shelter,Jason Mraz,acoustic,0.514,0.569,0.264,0.601,142.597
111,No Stopping Us,Jason Mraz,acoustic,0.646,0.836,0.727,0.301,105.991
112,I'll Do Anything,Jason Mraz,acoustic,0.57,0.711,0.648,0.119,163.117
113,Make You Feel My Love,JJ Heller,acoustic,0.678,0.199,0.262,0.957,72.006
114,The Remedy (I Won't Worry),Jason Mraz,acoustic,0.589,0.867,0.795,0.041,94.52
115,Too Much Food,Jason Mraz,acoustic,0.626,0.926,0.548,0.0265,99.997
116,The Boy's Gone,Jason Mraz,acoustic,0.686,0.556,0.36,0.532,112.997
117,"On Love, in Sadness",Jason Mraz,acoustic,0.56,0.832,0.802,0.108,100.957
118,Curbside Prophet,Jason Mraz,acoustic,0.619,0.793,0.892,0.263,177.991
119,"Tonight, Not Again - Live",Jason Mraz,acoustic,0.56,0.278,0.594,0.733,102.187
120,"Tonight, Not Again",Jason Mraz,acoustic,0.595,0.805,0.359,0.0167,102.44
121,Hard Sun,Eddie Vedder,acoustic,0.438,0.827,0.645,0.0512,143.377
122,Here with Me,Susie Suh;Robot Koch,acoustic,0.582,0.375,0.106,0.702,129.909
123,The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,acoustic,0.453,0.295,0.14,0.518,146.022
124,Collide,Howie Day,acoustic,0.636,0.625,0.342,0.222,93.931
125,get better,Eden Elf;Ren Avel,acoustic,0.639,0.201,0.4,0.907,88.107
126,Sympathy,Kitri,acoustic,0.69,0.423,0.59,0.883,130.121
127,Let It Go,Boyce Avenue;Rachel Grae,acoustic,0.599,0.349,0.444,0.819,147.913
128,What You Need,Chord Overstreet,acoustic,0.519,0.264,0.192,0.918,140.354
129,100 Years,Five For Fighting,acoustic,0.643,0.569,0.275,0.544,120.507
130,You're the Sea,Andrew Belle,acoustic,0.573,0.624,0.529,0.471,161.025
131,No Direction,Rachael Yamagata,acoustic,0.654,0.821,0.613,0.00666,111.958
132,Belong,Cary Brothers,acoustic,0.426,0.399,0.217,0.761,115.979
133,As It Was,The Mayries,acoustic,0.505,0.21,0.323,0.907,80.721
134,Chi Mai,Joseph Sullinger,acoustic,0.739,0.287,0.557,0.969,80.64
135,Had It All,Parachute,acoustic,0.606,0.54,0.249,0.182,79.952
136,Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,acoustic,0.595,0.646,0.563,0.11,120.049
137,Whole Again - Acoustic Version,Tobey Rosen,acoustic,0.736,0.145,0.235,0.855,129.832
138,Overpass Graffiti,The Mayries,acoustic,0.479,0.126,0.279,0.966,96.327
139,Love Song,Sara Bareilles,acoustic,0.583,0.786,0.573,0.0208,123.055
140,Let Her Go,Andrew Foy;Renee Foy,acoustic,0.549,0.291,0.376,0.858,75.153
141,Brighter Than Sunshine,Aqualung,acoustic,0.418,0.489,0.398,0.287,72.891
142,Love Story,Tyler Ward;Karis;Ray Lorraine,acoustic,0.498,0.12,0.338,0.851,121.187
143,Mujer con Abanico,Agustín Amigó;Nylonwings,acoustic,0.769,0.135,0.471,0.986,103.939
144,In the Shadows,Amy Stroup,acoustic,0.434,0.469,0.0568,0.52,136.282
145,Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,acoustic,0.452,0.198,0.217,0.931,119.499
146,The Story,Brandi Carlile,acoustic,0.544,0.5,0.177,0.0325,93.621
147,Better,JJ Heller,acoustic,0.662,0.187,0.233,0.969,104.988
148,Iris,Kina Grannis,acoustic,0.497,0.13,0.179,0.841,130.769
149,Rockabye - Acoustic Version,The Mayries,acoustic,0.528,0.291,0.355,0.914,76.805
150,I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,acoustic,0.461,0.522,0.446,0.36,157.768
151,Beautiful Soul,Boyce Avenue,acoustic,0.483,0.506,0.705,0.394,87.337
152,Let's See What The Night Can Do,Jason Mraz,acoustic,0.392,0.423,0.288,0.27,113.537
153,"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,acoustic,0.42,0.2,0.164,0.929,87.248
154,Forever And Always,Parachute,acoustic,0.657,0.716,0.435,0.014,93.924
155,Fine On The Outside,Priscilla Ahn,acoustic,0.495,0.185,0.196,0.692,101.89
156,Tortured Soul,Chord Overstreet,acoustic,0.55,0.499,0.144,0.472,86.966
157,I Believe in You,JJ Heller,acoustic,0.534,0.359,0.267,0.449,131.804
158,At Home,Jon Bryant,acoustic,0.378,0.52,0.357,0.777,73.744
159,"Portland, Maine",Donovan Woods,acoustic,0.606,0.349,0.156,0.764,80.071
160,Holding On and Letting Go,Ross Copperman,acoustic,0.486,0.555,0.0992,0.818,77.987
161,The Flood,Joshua Hyslop,acoustic,0.577,0.446,0.262,0.554,81.005
162,Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,acoustic,0.59,0.407,0.276,0.861,145.852
163,Out of My League,Stephen Speaks,acoustic,0.538,0.315,0.4,0.96,91.921
164,Say Something,A Great Big World,acoustic,0.447,0.158,0.142,0.872,140.942
165,Rise,Eddie Vedder,acoustic,0.401,0.58,0.526,0.906,173.277
166,World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,acoustic,0.502,0.311,0.4,0.617,107.612
167,Stumble,Freddie King,acoustic,0.678,0.612,0.857,0.1,118.381
168,Paradise,Taj Mahal,acoustic,0.65,0.406,0.862,0.568,79.642
169,"Moonlight, Mistletoe & You",Keb' Mo';Gerald Albright,acoustic,0.649,0.399,0.342,0.184,97.498
170,ひまわりの約束,Motohiro Hata,acoustic,0.523,0.445,0.336,0.188,78.957
171,Since U Been Gone - Acoustic Version,Thomas Daniel,acoustic,0.538,0.162,0.366,0.847,94.981
172,"One more time,One more chance",Masayoshi Yamazaki,acoustic,0.519,0.429,0.396,0.658,129.491
173,Creep,Kina Grannis,acoustic,0.585,0.103,0.179,0.801,133.057
174,Higher Love,Todd Carey;Ariza;Chuck Leavell,acoustic,0.578,0.763,0.394,0.0916,96.808
175,Hyouriittai,YUZU,acoustic,0.223,0.891,0.333,0.325,159.888
176,How Long Will I Love You,Canyon City,acoustic,0.382,0.157,0.224,0.878,136.11
177,Binibini,Zack Tabudlo,acoustic,0.642,0.374,0.0979,0.423,129.863
178,You Were Supposed to Be Different,Aron Wright,acoustic,0.436,0.239,0.137,0.861,73.761
179,Thinking out Loud,Boyce Avenue,acoustic,0.702,0.326,0.628,0.705,79.904
180,Perfect / Style,Jonah Baker,acoustic,0.593,0.292,0.375,0.828,111.121
181,Poison & Wine,The Civil Wars,acoustic,0.285,0.186,0.203,0.76,153.848
182,You And I,Ingrid Michaelson,acoustic,0.698,0.285,0.53,0.927,135.027
183,Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,acoustic,0.601,0.439,0.275,0.0642,99.976
184,Breathe (2 AM),Anna Nalick,acoustic,0.386,0.452,0.287,0.417,169.837
185,Habang Buhay,Zack Tabudlo,acoustic,0.62,0.668,0.183,0.088,118.013
186,Beautiful Soul,Jonah Baker,acoustic,0.394,0.281,0.485,0.826,90.044
187,Bulletproof,Ben Woodward,acoustic,0.59,0.552,0.635,0.654,155.101
188,Spectrum,Andrew Belle,acoustic,0.539,0.717,0.212,0.000298,117.973
189,Girls Like You - Acoustic Version,Jonah Baker,acoustic,0.543,0.138,0.3,0.791,115.65
190,Nangangamba,Zack Tabudlo,acoustic,0.62,0.547,0.208,0.112,98.032
191,Better Together,Us The Duo,acoustic,0.761,0.311,0.553,0.647,109.891
192,Heartbreak Anniversary,Andrew Foy;Renee Foy,acoustic,0.674,0.122,0.339,0.882,130.014
193,One More Time Around,Tyler Ward;Karis;Ray Lorraine,acoustic,0.429,0.358,0.187,0.614,134.279
194,Heart Can’t Lose,Zack Tabudlo,acoustic,0.647,0.567,0.374,0.0318,125.871
195,I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,acoustic,0.322,0.213,0.16,0.611,160.389
196,Empty,Ray LaMontagne,acoustic,0.482,0.381,0.42,0.455,81.712
197,"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,acoustic,0.393,0.207,0.262,0.877,163.99
198,The Reason,Tim Halperin,acoustic,0.423,0.207,0.209,0.887,149.664
199,Fix You,Canyon City,acoustic,0.522,0.152,0.133,0.788,144.055
200,Hand to Hold,JJ Heller,acoustic,0.547,0.313,0.261,0.612,133.737
201,Hold You in My Arms,Ray LaMontagne,acoustic,0.504,0.321,0.577,0.149,170.134
202,One Last Dance,Us The Duo,acoustic,0.466,0.161,0.171,0.979,139.167
203,Heaven,Boyce Avenue;Megan Nicole,acoustic,0.619,0.28,0.292,0.73,129.948
204,The Spark - Bonus Track,Joshua Hyslop,acoustic,0.596,0.429,0.229,0.775,148.086
205,American Beauty,Drew Holcomb & The Neighbors,acoustic,0.645,0.169,0.178,0.844,167.826
206,Such A Simple Thing,Ray LaMontagne,acoustic,0.522,0.256,0.13,0.86,76.349
207,Colors,Amos Lee,acoustic,0.681,0.168,0.29,0.793,128.615
208,Someone You Loved,Boyce Avenue,acoustic,0.736,0.364,0.371,0.741,110.023
209,More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,acoustic,0.451,0.528,0.527,0.366,139.28
210,Flurry Rush,Days N Daze,acoustic,0.371,0.674,0.92,0.169,87.603
211,I Choose You,Sara Bareilles,acoustic,0.731,0.572,0.947,0.105,154.038
212,I Do Adore,Mindy Gledhill,acoustic,0.69,0.334,0.8,0.947,74.721
213,I'll Be Home For Christmas,Dave Barnes,acoustic,0.594,0.307,0.24,0.796,94.026
214,Fuck You,Get Dead,acoustic,0.608,0.917,0.936,0.236,117.875
215,Christmas Comes But Once A Year,Albert King,acoustic,0.687,0.494,0.621,0.324,93.269
216,If I Ain't Got You - Acoustic,John Adams,acoustic,0.652,0.15,0.361,0.923,104.018
217,Believe - Acoustic,John Adams,acoustic,0.765,0.241,0.182,0.873,123.95
218,Iris - Acoustic,Adam Christopher,acoustic,0.589,0.249,0.363,0.717,150.096
219,Rain - Long Ver.,Motohiro Hata,acoustic,0.588,0.604,0.351,0.343,92.02
220,C'est si bon,Aoi Teshima,acoustic,0.735,0.203,0.479,0.854,113.913
221,Baby (Acoustic Version),Jonah Baker,acoustic,0.655,0.147,0.328,0.88,116.103
222,Reason,YUZU,acoustic,0.363,0.819,0.468,0.0591,122.527
223,I Like Me Better,Boyce Avenue;Emma Heesters,acoustic,0.473,0.263,0.315,0.814,87.145
224,Asan Ka Na Ba,Zack Tabudlo,acoustic,0.676,0.768,0.493,0.149,105.999
225,A Thousand Years,Boyce Avenue,acoustic,0.41,0.221,0.228,0.768,139.529
226,drivers license,Thomas Daniel,acoustic,0.439,0.217,0.373,0.933,144.413
227,Love Someone,Jason Mraz,acoustic,0.582,0.347,0.0797,0.317,97.957
228,The Winner Takes It All - Acoustic,Jae Hall,acoustic,0.426,0.127,0.149,0.863,62.535
229,Only Time,Aaron Espe,acoustic,0.696,0.261,0.361,0.737,136.053
230,Almost Lover,A Fine Frenzy,acoustic,0.549,0.24,0.167,0.947,119.58
231,Dance Monkey,Roses & Frey,acoustic,0.541,0.192,0.317,0.893,139.938
232,Ocean,Parachute,acoustic,0.662,0.711,0.352,0.0686,119.989
233,Dream a Little Dream of Me,Kina Grannis,acoustic,0.665,0.185,0.458,0.913,82.474
234,Back For Good,The Mayries,acoustic,0.591,0.175,0.352,0.927,139.902
235,OK,Canyon City,acoustic,0.489,0.183,0.486,0.907,79.961
236,Just The Two Of Us,Andrew Foy;Renee Foy,acoustic,0.618,0.083,0.597,0.745,90.865
237,Hey There Delilah,Boyce Avenue,acoustic,0.664,0.319,0.258,0.862,105.036
238,Arcade,Andrew Foy;Renee Foy,acoustic,0.408,0.266,0.35,0.875,143.651
239,Yellow,Kina Grannis,acoustic,0.623,0.132,0.266,0.893,82.105
240,Wake Me Up,Roses & Frey,acoustic,0.494,0.214,0.35,0.92,125.981
241,Walking Blind,Aidan Hawken,acoustic,0.374,0.183,0.134,0.897,82.042
242,Headphones,Jon Bryant,acoustic,0.559,0.455,0.396,0.421,159.985
243,Teenage Dream,The Rescues,acoustic,0.642,0.408,0.411,0.729,119.81
244,The Worth Of The Wait,Ivan & Alyosha,acoustic,0.48,0.618,0.344,0.844,82.051
245,Can't Help Falling In Love - Piano Version,Kina Grannis,acoustic,0.271,0.0937,0.147,0.939,164.721
246,Never Come Back Again,Austin Plaine,acoustic,0.594,0.695,0.172,0.19,104.977
247,Love You To Death,Chord Overstreet,acoustic,0.574,0.344,0.0987,0.421,147.924
248,Someone You Loved - Acoustic,Plamina,acoustic,0.647,0.298,0.31,0.861,106.244
249,What a Wonderful World,Kina Grannis;Imaginary Future,acoustic,0.486,0.0399,0.155,0.953,95.066
250,You Broke Me First,Andrew Foy;Renee Foy,acoustic,0.734,0.0423,0.14,0.916,123.905
251,Long Way Down,Joshua Hyslop,acoustic,0.711,0.231,0.186,0.832,125.062
252,She Is Love,Parachute,acoustic,0.629,0.174,0.305,0.616,134.295
253,Marigold,Phillip LaRue,acoustic,0.615,0.406,0.541,0.541,166.035
254,12:51,krissy & ericka,acoustic,0.503,0.357,0.438,0.727,136.135
255,サンサーラ,Takehara Pistol,acoustic,0.45,0.183,0.219,0.762,61.192
256,Sons and Daughters,Allman Brown;Liz Lawrence,acoustic,0.525,0.461,0.202,0.775,147.997
257,Brand New,Ben Rector,acoustic,0.555,0.934,0.422,0.00268,144.874
258,Gotta Have You,The Weepies;Deb Talan;Steve Tannen,acoustic,0.678,0.363,0.543,0.872,75.004
259,"30,000 Feet",Ben Rector,acoustic,0.555,0.452,0.321,0.694,179.921
260,A Thousand Years,Eddy Tyler,acoustic,0.586,0.396,0.16,0.896,142.591
261,Jolene,Ray LaMontagne,acoustic,0.588,0.142,0.288,0.863,119.656
262,No Ceiling,Eddie Vedder,acoustic,0.724,0.652,0.75,0.46,106.911
263,Front Porch,Joy Williams,acoustic,0.567,0.224,0.2,0.887,124.44
264,Goodbye Lulu,Days N Daze,acoustic,0.544,0.839,0.967,0.784,87.609
265,Three More Days,Ray LaMontagne,acoustic,0.555,0.68,0.903,0.126,84.518
266,Isn't She Lovely - Acoustic,Callum J Wright,acoustic,0.69,0.306,0.424,0.805,115.671
267,We Could Still Be Happy,Rachael Yamagata,acoustic,0.513,0.317,0.177,0.365,84.853
268,Fix You - Acoustic,John Adams,acoustic,0.494,0.152,0.304,0.947,134.178
269,I'm Yours - Acoustic,Lusaint,acoustic,0.634,0.267,0.391,0.841,143.514
270,Closer,Boyce Avenue;Sarah Hyland,acoustic,0.694,0.471,0.466,0.411,95.003
271,A Sky Full of Stars,Mother's Daughter;Beck Pete,acoustic,0.643,0.11,0.152,0.876,101.995
272,I Don't Believe in Satan,Aron Wright,acoustic,0.422,0.41,0.354,0.00855,83.952
273,Pills,The Perishers,acoustic,0.543,0.288,0.293,0.667,95.435
274,Shallow - Acoustic,Tyler Ward;Madysyn,acoustic,0.332,0.282,0.234,0.825,187.057
275,Watermelon Sugar - Acoustic,Jonah Baker,acoustic,0.43,0.121,0.461,0.908,91.211
276,Say You Won't Let Go - Acoustic,Matt Johnson;Jaclyn Davies,acoustic,0.432,0.197,0.348,0.87,163.985
277,Call You Mine (Acoustic Piano),Ben Woodward,acoustic,0.733,0.297,0.766,0.935,103.953
278,For Now,Kina Grannis,acoustic,0.394,0.249,0.329,0.927,79.549
279,Sweet Dream,Greg Laswell,acoustic,0.41,0.234,0.19,0.798,93.72
280,Love Nwantiti,Andrew Foy,acoustic,0.48,0.158,0.498,0.809,86.107
281,Stars Are on Your Side,Ross Copperman,acoustic,0.255,0.625,0.191,0.63,84.611
282,We Don't Talk Anymore / Cold (feat. Sara Phillips),Jonah Baker;Sara Phillips,acoustic,0.524,0.328,0.599,0.817,99.941
283,Superman,Joe Brooks,acoustic,0.464,0.653,0.416,0.199,162.196
284,Chasing Cars,Boyce Avenue,acoustic,0.659,0.331,0.0877,0.809,105.01
285,Calm Me Down,Zack Tabudlo,acoustic,0.592,0.49,0.437,0.395,99.994
286,KISSして,Masaharu Fukuyama,acoustic,0.467,0.851,0.644,0.000353,93.873
287,Binibini (Last Day On Earth) (feat. James TW),Zack Tabudlo;James TW,acoustic,0.564,0.391,0.101,0.478,130.03
288,Left for America,Ciaran Lavery,acoustic,0.498,0.384,0.25,0.818,79.856
289,Ramparts,John Frusciante,acoustic,0.386,0.428,0.73,0.951,172.311
290,Hold On - Acoustic,Chord Overstreet,acoustic,0.702,0.259,0.246,0.878,120.102
291,Dust to Dust,The Civil Wars,acoustic,0.747,0.265,0.2,0.745,138.017
292,Good night,Masaharu Fukuyama,acoustic,0.522,0.498,0.221,0.0758,145.908
293,As You Are,Zack Tabudlo,acoustic,0.715,0.438,0.447,0.353,81.07
294,It Aint Me,Sara Farell,acoustic,0.354,0.415,0.421,0.797,175.537
295,The Lotto,Ingrid Michaelson;AJR,acoustic,0.687,0.748,0.872,0.24,88.944
296,Tamacun,Rodrigo y Gabriela,acoustic,0.588,0.914,0.971,0.832,128.553
297,Make It Without You,Andrew Belle,acoustic,0.456,0.205,0.161,0.92,117.663
298,Dream,Priscilla Ahn,acoustic,0.512,0.248,0.158,0.75,109.692
299,"Big Love, Small Moments",JJ Heller,acoustic,0.582,0.282,0.278,0.793,118.019
300,I Am Not Alone,Priscilla Ahn,acoustic,0.568,0.18,0.228,0.758,112.033
301,Stand Your Ground,Joshua Hyslop,acoustic,0.71,0.271,0.686,0.658,131.88
302,Perfect Man,Front Porch Step,acoustic,0.574,0.704,0.338,0.0931,117.086
303,あ。っという間はあるさ,Takehara Pistol,acoustic,0.64,0.895,0.94,0.273,115.941
304,Tell The World,Eric Hutchinson,acoustic,0.669,0.854,0.706,0.0653,120.035
